match_id,source,source_match_id,competition,stage,group_name,kickoff_at_utc,kickoff_at_local,home_team,away_team,status,home_score,away_score,result,locked_at,settled_at,admin_id,notes
WC2026-0001,openfootball/worldcup.json,openfootball-2026-001,FIFA World Cup 2026,Matchday 1,Group A,2026-06-11 13:00 UTC-6,,Mexico,South Africa,SCHEDULED,,,,,,,ground=Mexico City
WC2026-0002,openfootball/worldcup.json,openfootball-2026-002,FIFA World Cup 2026,Matchday 1,Group A,2026-06-11 20:00 UTC-6,,South Korea,Czech Republic,SCHEDULED,,,,,,,ground=Guadalajara (Zapopan)
WC2026-0003,openfootball/worldcup.json,openfootball-2026-003,FIFA World Cup 2026,Matchday 8,Group A,2026-06-18 12:00 UTC-4,,Czech Republic,South Africa,SCHEDULED,,,,,,,ground=Atlanta
WC2026-0004,openfootball/worldcup.json,openfootball-2026-004,FIFA World Cup 2026,Matchday 8,Group A,2026-06-18 19:00 UTC-6,,Mexico,South Korea,SCHEDULED,,,,,,,ground=Guadalajara (Zapopan)
WC2026-0005,openfootball/worldcup.json,openfootball-2026-005,FIFA World Cup 2026,Matchday 14,Group A,2026-06-24 19:00 UTC-6,,Czech Republic,Mexico,SCHEDULED,,,,,,,ground=Mexico City
WC2026-0006,openfootball/worldcup.json,openfootball-2026-006,FIFA World Cup 2026,Matchday 14,Group A,2026-06-24 19:00 UTC-6,,South Africa,South Korea,SCHEDULED,,,,,,,ground=Monterrey (Guadalupe)
WC2026-0007,openfootball/worldcup.json,openfootball-2026-007,FIFA World Cup 2026,Matchday 2,Group B,2026-06-12 15:00 UTC-4,,Canada,Bosnia & Herzegovina,SCHEDULED,,,,,,,ground=Toronto
WC2026-0008,openfootball/worldcup.json,openfootball-2026-008,FIFA World Cup 2026,Matchday 3,Group B,2026-06-13 12:00 UTC-7,,Qatar,Switzerland,SCHEDULED,,,,,,,ground=San Francisco Bay Area (Santa Clara)
WC2026-0009,openfootball/worldcup.json,openfootball-2026-009,FIFA World Cup 2026,Matchday 8,Group B,2026-06-18 12:00 UTC-7,,Switzerland,Bosnia & Herzegovina,SCHEDULED,,,,,,,ground=Los Angeles (Inglewood)
WC2026-0010,openfootball/worldcup.json,openfootball-2026-010,FIFA World Cup 2026,Matchday 8,Group B,2026-06-18 15:00 UTC-7,,Canada,Qatar,SCHEDULED,,,,,,,ground=Vancouver
WC2026-0011,openfootball/worldcup.json,openfootball-2026-011,FIFA World Cup 2026,Matchday 14,Group B,2026-06-24 12:00 UTC-7,,Switzerland,Canada,SCHEDULED,,,,,,,ground=Vancouver
WC2026-0012,openfootball/worldcup.json,openfootball-2026-012,FIFA World Cup 2026,Matchday 14,Group B,2026-06-24 12:00 UTC-7,,Bosnia & Herzegovina,Qatar,SCHEDULED,,,,,,,ground=Seattle
WC2026-0013,openfootball/worldcup.json,openfootball-2026-013,FIFA World Cup 2026,Matchday 3,Group C,2026-06-13 18:00 UTC-4,,Brazil,Morocco,SCHEDULED,,,,,,,ground=New York/New Jersey (East Rutherford)
WC2026-0014,openfootball/worldcup.json,openfootball-2026-014,FIFA World Cup 2026,Matchday 3,Group C,2026-06-13 21:00 UTC-4,,Haiti,Scotland,SCHEDULED,,,,,,,ground=Boston (Foxborough)
WC2026-0015,openfootball/worldcup.json,openfootball-2026-015,FIFA World Cup 2026,Matchday 9,Group C,2026-06-19 18:00 UTC-4,,Scotland,Morocco,SCHEDULED,,,,,,,ground=Boston (Foxborough)
WC2026-0016,openfootball/worldcup.json,openfootball-2026-016,FIFA World Cup 2026,Matchday 9,Group C,2026-06-19 20:30 UTC-4,,Brazil,Haiti,SCHEDULED,,,,,,,ground=Philadelphia
WC2026-0017,openfootball/worldcup.json,openfootball-2026-017,FIFA World Cup 2026,Matchday 14,Group C,2026-06-24 18:00 UTC-4,,Scotland,Brazil,SCHEDULED,,,,,,,ground=Miami (Miami Gardens)
WC2026-0018,openfootball/worldcup.json,openfootball-2026-018,FIFA World Cup 2026,Matchday 14,Group C,2026-06-24 18:00 UTC-4,,Morocco,Haiti,SCHEDULED,,,,,,,ground=Atlanta
WC2026-0019,openfootball/worldcup.json,openfootball-2026-019,FIFA World Cup 2026,Matchday 2,Group D,2026-06-12 18:00 UTC-7,,USA,Paraguay,SCHEDULED,,,,,,,ground=Los Angeles (Inglewood)
WC2026-0020,openfootball/worldcup.json,openfootball-2026-020,FIFA World Cup 2026,Matchday 3,Group D,2026-06-13 21:00 UTC-7,,Australia,Turkey,SCHEDULED,,,,,,,ground=Vancouver
WC2026-0021,openfootball/worldcup.json,openfootball-2026-021,FIFA World Cup 2026,Matchday 9,Group D,2026-06-19 12:00 UTC-7,,USA,Australia,SCHEDULED,,,,,,,ground=Seattle
WC2026-0022,openfootball/worldcup.json,openfootball-2026-022,FIFA World Cup 2026,Matchday 9,Group D,2026-06-19 20:00 UTC-7,,Turkey,Paraguay,SCHEDULED,,,,,,,ground=San Francisco Bay Area (Santa Clara)
WC2026-0023,openfootball/worldcup.json,openfootball-2026-023,FIFA World Cup 2026,Matchday 15,Group D,2026-06-25 19:00 UTC-7,,Turkey,USA,SCHEDULED,,,,,,,ground=Los Angeles (Inglewood)
WC2026-0024,openfootball/worldcup.json,openfootball-2026-024,FIFA World Cup 2026,Matchday 15,Group D,2026-06-25 19:00 UTC-7,,Paraguay,Australia,SCHEDULED,,,,,,,ground=San Francisco Bay Area (Santa Clara)
